  year          age         mx       qx     ax     lx       dx      Lx       Tx     ex
  2019          76      0.03155  0.03106  0.50   68205    2118   67146   811035  11.89
  2019          77      0.03466  0.03407  0.50   66087    2251   64961   743889  11.26
  2019          78      0.03783  0.03712  0.50   63836    2370   62651   678927  10.64
  2019          79      0.04195  0.04109  0.50   61466    2525   60203   616277  10.03
  2019          80      0.04722  0.04613  0.50   58940    2719   57581   556074   9.43
  2019          81      0.05201  0.05069  0.50   56221    2850   54797   498493   8.87
  2019          82      0.05804  0.05640  0.50   53372    3010   51867   443696   8.31
  2019          83      0.06508  0.06303  0.50   50361    3174   48774   391830   7.78
  2019          84      0.07246  0.06992  0.50   47187    3299   45538   343055   7.27
  2019          85      0.08039  0.07728  0.50   43888    3392   42192   297518   6.78
  2019          86      0.09070  0.08677  0.50   40496    3514   38739   255326   6.30
  2019          87      0.10290  0.09786  0.50   36982    3619   35173   216586   5.86
  2019          88      0.11488  0.10864  0.50   33363    3625   31551   181414   5.44
  2019          89      0.13100  0.12295  0.50   29739    3656   27910   149863   5.04
  2019          90      0.14587  0.13596  0.50   26082    3546   24309   121952   4.68
  2019          91      0.16382  0.15142  0.50   22536    3412   20830    97643   4.33
  2019          92      0.18374  0.16828  0.50   19124    3218   17515    76813   4.02
  2019          93      0.20481  0.18579  0.50   15906    2955   14428    59298   3.73
  2019          94      0.22946  0.20584  0.50   12951    2666   11618    44870   3.46
  2019          95      0.24841  0.22097  0.50   10285    2273    9149    33252   3.23
  2019          96      0.27337  0.24049  0.50    8012    1927    7049    24103   3.01
  2019          97      0.29985  0.26076  0.50    6085    1587    5292    17054   2.80
  2019          98      0.32779  0.28163  0.50    4499    1267    3865    11762   2.61
  2019          99      0.35705  0.30296  0.50    3232     979    2742     7897   2.44
  2019         100      0.38747  0.32459  0.50    2253     731    1887     5155   2.29
  2019         101      0.41886  0.34633  0.50    1521     527    1258     3268   2.15
  2019         102      0.45101  0.36802  0.50     995     366     812     2010   2.02
  2019         103      0.48364  0.38946  0.50     629     245     506     1199   1.91
  2019         104      0.51650  0.41049  0.50     384     158     305      693   1.80
  2019         105      0.54930  0.43094  0.50     226      97     177      388   1.71
  2019         106      0.58176  0.45067  0.50     129      58     100      210   1.63
  2019         107      0.61361  0.46955  0.50      71      33      54      110   1.56
  2019         108      0.64459  0.48748  0.50      38      18      28       56   1.50
  2019         109      0.67446  0.50437  0.50      19      10      14       28   1.45
  2019         110+     0.70304  1.00000  1.42      10      10      14       14   1.42
